Bug ID,Type,Summary,Product,Component,Assignee,Status,Resolution,QA Contact,Reporter,Triage Owner,Version,platform-rel,Opened,Severity,Updated,Closed,Number of Comments,Keywords,Root Cause,Regressions,Has Regression Range,Bug Interest,Crash Signature,category
1124444,defect,synchron vidli submiss,Webtools,Air Mozilla,peterbe,RESOLVED,FIXED,,peterbe,,Trunk, ---,21-01-2015 15:29,normal,22-01-2015 11:17,22-01-2015 19:17,2,, ---,, ---,,,['CONCURRENCY']
1125410,defect,extrem slow job ingest due task block mysql system lock,Tree Management,Treeherder: Infrastructure,scabral,RESOLVED,WORKSFORME,laura,emorley,Armen [:armenzg], ---, ---,23-01-2015 15:18,normal,25-02-2015 10:38,25-02-2015 18:38,19,, ---,, ---,,,"['PERFORMANCE', 'CRASH', 'CONCURRENCY']"
1123189,defect,queue durationchang instead dispatch synchron,Core,Audio/Video,jyavenard,RESOLVED,FIXED,,karlt,Bryce Seager van Dyk (:bryce),Trunk, ---,18-01-2015 21:15,normal,22-01-2015 11:36,21-01-2015 13:25,18,, ---,, ---,,,['CONCURRENCY']
1127940,defect,objectnotfoundexcept due read host db race,Tree Management,Treeherder,emorley,RESOLVED,FIXED,,emorley,Sarah Clements [:sclements], ---, ---,30-01-2015 10:14,normal,04-02-2015 17:50,05-02-2015 01:50,3,, ---,, ---,,,['CONCURRENCY']
1120406,enhancement,visual element ha lock within markup view,DevTools,Inspector,bgrinstead,VERIFIED,FIXED,,sebastianzartner,Gabriel [:gl] (ΦωΦ),unspecified, ---,12-01-2015 05:49,normal,13-06-2018 10:27,02-09-2015 01:19,26,dev-doc-complete, ---,, ---,,,['CONCURRENCY']
1117137,defect,background servic use wifi lock,Firefox for Android,Android Sync,nobody,NEW, ---,,bugzilla,:Grisha Kruglov,unspecified, ---,02-01-2015 09:26,normal,04-10-2018 13:12,,14,, ---,, ---,,,"['PERFORMANCE', 'USABILITY', 'CONCURRENCY']"
1126359,defect,weird lock issu media decod thread youtub webm,Core,Audio/Video: Playback,nobody,RESOLVED,WORKSFORME,,valentin.gosu,Bryce Seager van Dyk (:bryce),unspecified, ---,27-01-2015 08:35,normal,09-10-2015 06:37,09-10-2015 13:36,7,, ---,, ---,,,['CONCURRENCY']
1124307,defect,lock updat classifyloc run classifyloc main thread,Toolkit,Safe Browsing,nobody,REOPENED, ---,,mmc.bugzilla,Dimi Lee [:dimi][:dlee],Trunk, ---,21-01-2015 10:51,normal,24-05-2018 13:32,24-05-2018 03:39,2,"perf, regression", ---,, ---,,,"['CONCURRENCY', 'PERFORMANCE', 'PERFORMANCE']"
1120399,defect,let lock api handl hover activ ancestor appli,Core,DOM: Core & HTML,nobody,NEW, ---,,sebastianzartner,Hsin-Yi Tsai [:hsinyi],Trunk, ---,12-01-2015 05:22,minor,13-03-2019 06:42,,21,, ---,, ---,,,"['CONCURRENCY', 'CLEAN']"
1119712,defect,lock freez press ctrl key,Firefox,Untriaged,nobody,RESOLVED,INVALID,,meghyx,"Emma Humphries, Bugmaster ☕️🎸🧞‍♀️✨ (she/they) [:emceeaich] (UTC-8) needinfo? me",34 Branch, ---,09-01-2015 01:15,blocker,09-01-2015 11:54,09-01-2015 19:54,2,, ---,, ---,,,"['CONCURRENCY', 'CRASH']"
1118013,defect,pointer lock demo doe work,Core,DOM: Events,nobody,RESOLVED,DUPLICATE,,continuation,Hsin-Yi Tsai [:hsinyi],32 Branch, ---,05-01-2015 14:20,normal,05-01-2015 21:55,06-01-2015 05:55,5,, ---,, ---,,,['CONCURRENCY']
1127372,defect,cach usag updat synchron,SeaMonkey,Preferences,nobody,NEW, ---,,sm-bugs-tp,,SeaMonkey 2.32 Branch, ---,29-01-2015 08:13,normal,29-01-2015 13:12,,2,, ---,, ---,,,['CONCURRENCY']
1126887,defect,intermitt deadlock shutdown code,Core,WebRTC: Audio/Video,nobody,RESOLVED,INCOMPLETE,,docfaraday,Jan-Ivar Bruaroey [:jib] (needinfo? me),Trunk, ---,28-01-2015 09:26,normal,21-06-2015 16:30,21-06-2015 23:30,3,, ---,, ---,,,['CONCURRENCY']
1126739,defect,add lock surfacecach entri point bypass public api,Core,ImageLib,seth.bugzilla,RESOLVED,FIXED,,seth.bugzilla,Andrew Osmond [:aosmond],unspecified, ---,28-01-2015 03:01,normal,06-02-2015 16:43,01-02-2015 17:23,18,, ---,, ---,,,"['REGRESSION', 'CONCURRENCY', 'SECURITY', 'CLEAN']"
1121669,defect,tsan data race get,Core,DOM: HTML Parser,hsivonen,RESOLVED,FIXED,,nfroyd,Hsin-Yi Tsai [:hsinyi],unspecified, ---,14-01-2015 13:10,normal,14-02-2017 13:59,14-02-2017 21:15,15,, ---,, ---,,,['CONCURRENCY']
1124612,defect,hard lock white screen play video zte open c flame,Core,General,nobody,RESOLVED,DUPLICATE,,chrislord.net,Andrew Overholt [:overholt],unspecified, ---,22-01-2015 04:05,normal,10-02-2015 23:28,24-01-2015 01:20,11,regression, ---,, ---,,,['CONCURRENCY']
