"Bug ID","Issue Type","Summary","Product","Component","Assignee","Reporter","Version","Status","Resolution","Opened","Severity","Changed","Number of Comments"
262345,"DEFECT","Netbeans won't start","ide","Code","issues","maxoudela",8.1,"RESOLVED","INVALID","2016-06-06 10:00:24","normal","2017-05-15 13:33:13",3
271037,"DEFECT","Netbeans UI freezes after 'Revert Modifications' of a C/C++ file","ide","UI","issues","roeBruker",8.2,"NEW"," ---","2017-07-05 12:26:31","normal","2017-07-05 12:26:31",1
253837,"DEFECT","NB-Core-Build job fails due to failing tests","projects","Generic Projects UI","tstupka","ovrabec",8.1,"RESOLVED","FIXED","2015-07-27 07:56:55","normal","2015-07-28 01:20:29",4
262601,"DEFECT","[newcodemodel] Performance degradation in find usages","cnd","Code Model","vv159170","alexvsimon",8.2,"RESOLVED","INVALID","2016-06-28 12:57:03","normal","2016-07-05 12:53:12",6
250829,"DEFECT","Lookups.executeWith does not work for Lookup.lookupResult","platform","Lookup","sdedic","tzezula",8.1,"RESOLVED","WONTFIX","2015-03-02 17:08:50","normal","2015-07-08 10:23:04",8
255955,"DEFECT","Deadlock in LineVector.getLinesInRange()","platform","Text","mmetelka","mentlicher",8.2,"VERIFIED","FIXED","2015-10-15 16:15:41","normal","2016-02-04 14:50:15",11
270541,"DEFECT","Lots of random ""Unexpected Exception"" dialogs","editor","Actions/Menu/Toolbar","mmetelka","Pere","Dev","NEW"," ---","2017-05-03 07:45:28","normal","2017-05-03 07:47:13",2
255875,"DEFECT","AssertionError: local file resolved in remote folder rfs:alsimon@beta.ru.oracle.com:22/usr/include: FileEntry{ Name=E:\projects\cmake-2.6.4\Example\Demo\hello.h, Size=85, ModTime=2324908227, Dir=Direc","cnd","Code Model","vv159170","alexvsimon",8.1,"VERIFIED","FIXED","2015-10-12 12:31:34","normal","2015-10-26 15:42:17",9
251837,"DEFECT","Error: Error: could not match input","javascript","Jade","ppisl","terje7601",8.1,"RESOLVED","FIXED","2015-04-15 08:01:31","normal","2015-04-16 06:36:48",10
262441,"TASK","Update JDK to 8u101","installer","JDK bundle","lfischmeistr","lfischmeistr",8.1,"RESOLVED","FIXED","2016-06-15 10:50:31","normal","2016-09-13 10:42:24",1
255795,"DEFECT","cannot add Glassfish 4.1.1","serverplugins","GlassFish","phejl","alied",8.1,"REOPENED"," ---","2015-10-08 05:24:12","normal","2017-09-05 14:34:03",17
254349,"ENHANCEMENT","Support for bugzilla 5","connecteddeveloper","Bugzilla","tstupka","mrpc",8.1,"RESOLVED","FIXED","2015-08-13 15:42:39","normal","2015-11-13 15:12:52",4
256131,"DEFECT","Could not find Tools->Options or Preferences Menu","php","Navigation","obrejla","dineshsbm","8.0.2","RESOLVED","INVALID","2015-10-23 10:02:51","normal","2015-10-26 13:50:40",2
271469,"DEFECT","Project PHP on remote server. Renaming a file (uppercase/lowercase) on IDE, creates a new file on the remote server.","ide","Code","issues","jurekz",8.2,"NEW"," ---","2017-09-13 07:05:59","normal","2017-10-19 06:36:05",1
256467,"DEFECT","Epic crash when annotation is written","java","Freeform","tzezula","javatlacati","8.0.2","RESOLVED","INCOMPLETE","2015-11-09 18:16:50","normal","2016-06-06 15:06:55",3
254269,"DEFECT","[newcodemodel] Failing org.netbeans.modules.cnd.completion tests","cnd","Code Completion","petrk","jskrivanek",8.1,"VERIFIED","FIXED","2015-08-11 12:36:15","normal","2015-09-07 07:37:06",4
256051,"DEFECT","Netbeans randomly disappears (force closes) windows 10","platform","JDK Problems","anebuzelsky","xanderburke","8.0.2","RESOLVED","INCOMPLETE","2015-10-20 14:42:47","normal","2018-01-24 13:27:49",16
257891,"DEFECT","AutomaticExtraClasspathProvider does not work anymore in NB81","projects","Ant","tstupka","scanti",8.1,"RESOLVED","WORKSFORME","2016-02-08 13:56:39","normal","2016-07-20 14:51:58",3
270637,"ENHANCEMENT","Needed features","utilities","Code","jhavlin","FenixDev","Dev","NEW"," ---","2017-05-14 08:31:08","normal","2017-06-27 14:48:46",3
258147,"DEFECT","[newcodemodel] [regression] system frameworks are not supported anymore","cnd","Code Model","vv159170","vv159170",8.1,"RESOLVED","FIXED","2016-02-25 19:11:28","normal","2016-03-16 11:35:51",4
257731,"DEFECT","Dependent jars are not getting signed while building Java Webstart Application","projects","Java Webstart","tzezula","shilpa1990","8.0.2","RESOLVED","WORKSFORME","2016-01-28 09:10:12","normal","2016-06-09 12:43:53",4
270477,"DEFECT","My Editor pane opens and shuts immediately. As a result I am neither able to code or design. It notifies of unexpected Custom UI exception. But Build is successful and the project also runs. No coe can be entered as the editors pane vanishes immediately.","ide","Code","issues","mazesrock",8.2,"RESOLVED","INCOMPLETE","2017-04-24 13:44:05","normal","2017-05-15 13:26:45",3
251773,"DEFECT","Cannot open projects","projects","Generic Projects UI","tstupka","waldermort",8.1,"RESOLVED","INVALID","2015-04-11 23:21:18","normal","2015-04-11 23:30:11",2
269981,"DEFECT","getClass().getResource() bug","java","Classpath","tzezula","FORLoop",8.2,"RESOLVED","DUPLICATE","2017-03-04 17:32:12","normal","2017-05-09 06:46:21",2
267392,"DEFECT","bits.netbeans.org not working","www","Builds & Repositories","pgebauer","legitalk",8.1,"VERIFIED","FIXED","2016-08-02 07:54:46","normal","2016-08-04 10:29:08",4
270989,"ENHANCEMENT","Models parse should allow to specify charset","platform","Html4j","jtulach","maxnitribitt","Dev","RESOLVED","FIXED","2017-06-28 11:46:17","normal","2017-07-19 18:09:57",7
257075,"DEFECT","NullPointerException at com.sun.tools.javac.code.Scope$NamedImportScope.importType","java","Editor","dbalek","tboudreau",8.2,"RESOLVED","FIXED","2015-12-09 10:46:31","normal","2016-04-10 01:47:54",22
250445,"DEFECT","UI freeze for 170 sec from JUnitTestCreatorProvider.enable","java","JUnit","theofanis","vv159170",8.1,"RESOLVED","FIXED","2015-02-16 12:24:44","normal","2015-05-30 10:05:30",7
253373,"DEFECT","Integrated help points to invalid URL","usersguide","IDE","AlyonaStashkova","alied",8.1,"RESOLVED","FIXED","2015-07-08 21:41:02","normal","2015-07-22 13:50:36",2
258083,"DEFECT",".jar file won't run","ide","BlueJ","issues","EddieDominguez",8.1,"RESOLVED","WORKSFORME","2016-02-21 10:48:13","normal","2016-03-17 12:05:04",17
251789,"DEFECT","Failing org.netbeans.modules.cnd.completion tests","cnd","Code Completion","alexvsimon","jskrivanek",8.1,"VERIFIED","FIXED","2015-04-13 07:43:02","normal","2015-04-22 09:31:33",2
257587,"ENHANCEMENT","Add Angular2 support","web","AngularJS","rsvitanic","everflux",8.2,"NEW"," ---","2016-01-15 15:04:38","normal","2017-08-07 14:12:48",24
253549,"DEFECT","Processors that use lambdas are completely broken in the IDE","platform","JDK Problems","tzezula","misterm",8.1,"RESOLVED","FIXED","2015-07-17 16:23:13","normal","2015-08-01 02:01:43",31
255331,"DEFECT","org.netbeans.modules.parsing.spi.ParseException: The file bsh/BSHAllocationExpression.class in E:\mavenrepo\org\beanshell\bsh\2.0b5\bsh-2.0b5.jar is not owned by provided classpaths, boot: C:\Program","java","Refactoring","ralphbenjamin","skygo",8.1,"RESOLVED","FIXED","2015-09-16 13:08:22","normal","2016-05-30 16:32:49",18
270589,"DEFECT","A java.lang.IllegalStateException exception has occurred (NetBeans JavaCC Lexer)","ide","Code","issues","Khad515",8.2,"RESOLVED","FIXED","2017-05-08 15:50:27","normal","2017-05-08 16:04:11",2
270925,"DEFECT","Program Freezes after hitting enter.","ide","Code","issues","robeng",8.2,"NEW"," ---","2017-06-21 15:41:03","normal","2017-06-21 15:41:07",2
271597,"DEFECT","Cannot create projects or files, there is no window popping up to create a project, also, opening projects doesnt work because upon trying to do so it closes the projects immidiently.","ide","UI","issues","ashibot",8.2,"RESOLVED","WONTFIX","2017-10-07 13:49:26","normal","2017-10-09 11:14:52",3
271933,"DEFECT","installing latest version of netbeans ide 8.2 then creating new php project with existing sources causes project to never be created and gets stuck at 40%. Same issue reproted in the forumns in 2013 & 2015. My project folder has a git cloned project.","ide","Code","issues","rodrigo7x",8.2,"NEW"," ---","2017-12-19 16:21:07","normal","2017-12-19 16:21:12",2
267344,"DEFECT","IllegalAccessException: unnamed modules can't load sun.util.logging.resources.logging in named module java.logging","serverplugins","GlassFish","phejl","jjuneau",8.2,"NEW"," ---","2016-07-28 11:04:36","normal","2018-02-05 21:29:25",4
270605,"ENHANCEMENT","Subversion ""Revert modifications"" takes too long when performed on several files","versioncontrol","Subversion","ovrabec","alvahro",8.2,"NEW"," ---","2017-05-10 13:31:13","normal","2018-04-04 16:06:20",2
262169,"DEFECT","when ide is maximized, the second degree dialogs (e.g. selecting a font from settings) would show behind the first degree dialog (settings) so it's never reachable. this does not happen when not maximized.","ide","UI","issues","dmarinescu",8.1,"RESOLVED","INVALID","2016-05-21 00:33:58","normal","2016-06-27 09:17:22",3
257204,"TASK","Support classes and extending classes","javascript","Editor","ppisl","ppisl",8.2,"RESOLVED","FIXED","2015-12-18 09:52:36","normal","2016-06-20 14:55:05",3
254670,"DEFECT","Radio buttons with enums aren't visually updated on first click","platform","Html4j","jtulach","jtulach",8.1,"RESOLVED","FIXED","2015-08-24 20:35:28","normal","2015-09-18 13:35:11",4
262602,"DEFECT","module-info.class: major version 53 is newer than 52...","java","Compiler","dbalek","mbalin",8.2,"RESOLVED","FIXED","2016-06-28 13:05:34","normal","2016-07-14 09:07:38",1
255956,"DEFECT","User can't add thread number into ""Thread"" field in ""New Breakpoint"" if number has more then 31 bits","cnd","Debugger","alexvsimon","alexvsimon",8.1,"VERIFIED","FIXED","2015-10-15 16:29:07","normal","2017-04-08 03:07:23",10
270542,"DEFECT","Find in editor differences accented and unaccented characters as if they were different","editor","Search","mkristofic","Pere","Dev","NEW"," ---","2017-05-03 07:54:37","normal","2017-05-03 07:54:37",1
257380,"DEFECT","Fail on installation","ide","Welcome","saubrecht","francienp",8.1,"RESOLVED","DUPLICATE","2016-01-04 08:06:46","normal","2016-01-20 15:44:26",2
269374,"DEFECT","Unexpected Exception on Debug->Attach Debugger (Gdbserver plugin related)","cnd","Debugger","mromashova","nathanh",8.2,"CLOSED","FIXED","2016-12-16 19:59:54","normal","2017-02-03 17:26:55",5
255796,"DEFECT","Update GlassFish to version 4.1.1","installer","Code","lfischmeistr","anebuzelsky",8.1,"VERIFIED","FIXED","2015-10-08 08:21:46","normal","2015-10-13 12:40:22",5
254606,"DEFECT","Scrollbars","editor","Navigation","mkristofic","RocketRod","8.0.2","RESOLVED","INCOMPLETE","2015-08-21 21:54:27","normal","2015-08-25 14:14:05",3
256388,"DEFECT","Less than a minute after starting, IDE crashes.  Windows reports, ""NetBeans IDE has stopped working""","ide","Code","issues","theosib",8.1,"RESOLVED","INCOMPLETE","2015-11-05 15:47:31","normal","2016-06-27 09:14:46",5
257476,"DEFECT","Compilation of simple Java Project fails due to wrong arguments on Jigsaw","java","Project","tzezula","mbalin",8.2,"VERIFIED","FIXED","2016-01-08 11:09:40","normal","2016-10-11 01:58:26",4
262202,"DEFECT","AssertionError at org.openide.awt.HtmlRendererImpl.reset","xml","Catalog","sdedic","jskrivanek",8.2,"VERIFIED","FIXED","2016-05-24 08:04:08","normal","2016-05-25 07:50:49",6
258564,"DEFECT","[regression] Navigation doesn't scroll to the navigated line","editor","Navigation","mmetelka","vv159170",8.2,"RESOLVED","FIXED","2016-03-29 07:44:32","normal","2016-06-08 13:48:49",10
250014,"DEFECT","Failed to build target: all-javascript2.editor","javascript"," -- Other --","ppisl","TylerK93",8.1,"RESOLVED","WONTFIX","2015-01-25 18:31:10","normal","2015-03-24 14:36:46",3
256980,"DEFECT","SourceLevelQuery normalization is wrong for Verona","java","Project","tzezula","tzezula",8.2,"RESOLVED","FIXED","2015-12-04 14:52:04","normal","2015-12-09 02:29:55",3
269726,"DEFECT","Click inside code / text editor having the ""Find in document"" area open (CTRL+f) takes cursor into the Find text field","editor","Actions/Menu/Toolbar","mmetelka","Pere","Dev","RESOLVED","FIXED","2017-02-02 16:51:41","normal","2017-06-15 11:02:44",7
268222,"DEFECT","Unable to create JavaFX projects","javafx","Project","tzezula","mienamoo",8.2,"REOPENED"," ---","2016-09-27 08:58:39","normal","2017-05-19 02:10:10",17
258068,"DEFECT","Scroll thumb missing, Nimbus theme ...","ide","UI","issues","capey0",8.1,"RESOLVED","DUPLICATE","2016-02-19 16:27:17","normal","2016-02-24 13:03:09",3
255396,"DEFECT","Failing PHP tests due to change 059d206acbfc","editor","Formatting & Indentation","mkristofic","tmysik",8.1,"RESOLVED","FIXED","2015-09-18 10:39:26","normal","2015-09-26 12:58:36",8
269982,"DEFECT","getClass().getResource() bug","java","Classpath","tzezula","FORLoop",8.2,"RESOLVED","WORKSFORME","2017-03-04 17:32:41","normal","2017-05-09 06:46:21",4
250190,"ENHANCEMENT","API to open New Project dialog with preselected sample category and device","projects","Generic Projects UI","rsvitanic","alexander.burdukov",8.1,"CLOSED","FIXED","2015-02-03 19:40:01","normal","2015-11-10 00:37:43",17
250862,"DEFECT","Cannot activate CND","cnd","Project","alexvsimon","vriha",8.1,"VERIFIED","FIXED","2015-03-03 11:28:43","normal","2015-03-12 07:56:54",4
255572,"DEFECT","NetBeans not able to include files","cnd","Debugger","henk89","mitesh2016",8.1,"RESOLVED","WORKSFORME","2015-09-25 16:33:46","normal","2015-09-29 11:25:58",3
251534,"DEFECT","Incompatible with Maven 3.3.1","projects","Maven","tstupka","ent38","8.0.2","RESOLVED","DUPLICATE","2015-03-31 15:10:27","normal","2015-03-31 16:40:53",2
257412,"DEFECT","Debugger deadlocks if breakpoint configured to Suspend All Threads","debugger","Java","mentlicher","gtzabari",8.2,"VERIFIED","FIXED","2016-01-05 09:24:17","normal","2016-02-04 12:55:38",7
255492,"DEFECT","[newcodemodel] Code model can not resolve includes that contain ""..""","cnd","Code Model","vkvashin","vkvashin",8.1,"RESOLVED","FIXED","2015-09-22 15:10:52","normal","2015-09-24 01:29:11",4
269326,"DEFECT","ClassCastException: Cannot cast org.netbeans.modules.java.source.save.Reindenter$$Lambda$227/34841035 to javax.tools.DiagnosticListener","editor","Formatting & Indentation","dbalek","Chiana","Dev","RESOLVED","FIXED","2016-12-14 08:13:05","normal","2017-04-27 01:48:11",11
249950,"DEFECT","Calls to ProjectManager.findProject in EDT causes long UI freeze","projects","Generic Infrastructure","tstupka","vkvashin",8.1,"RESOLVED","WONTFIX","2015-01-22 13:01:59","normal","2015-07-15 12:18:43",8
255828,"DEFECT","java.nio.file.InvalidPathException: Trailing char < > at index 61: C:\Users\adm_mipolo\Documents\NetBeansProjects\WS REST Sample \src\conf\persistence.xml","platform","Filesystems","jhavlin","exceptions_reporter",8.1,"VERIFIED","FIXED","2015-10-09 10:58:22","normal","2015-10-14 13:50:04",10
258420,"DEFECT","Reverse Calls is broken for snapshots with single timestamp","profiler","Base","jis","alexander.burdukov",8.1,"RESOLVED","FIXED","2016-03-17 18:10:00","normal","2016-04-12 01:47:09",4
271166,"ENHANCEMENT","Context menu on invisible root node","platform","Nodes","JPESKA","MrUrdam",8.2,"NEW"," ---","2017-07-26 07:47:48","normal","2017-08-28 09:22:05",2
251790,"DEFECT","Failing org.netbeans.api.db.explorer.JDBCDriverManager2Test.testCreateAfterConfigDirDelete","db","Code","matthias42","jskrivanek",8.1,"VERIFIED","FIXED","2015-04-13 07:44:20","normal","2015-04-15 02:49:29",4
262314,"DEFECT","[regression] Errors from output window do not navigate into source","cnd","Toolchain","mromashova","vv159170",8.2,"RESOLVED","FIXED","2016-06-02 18:30:34","normal","2016-06-06 06:32:21",3
269918,"DEFECT","IndexOutOfBoundsException: index=1 >= size()=1","editor","Lexer","mmetelka","Alniks",8.2,"NEW"," ---","2017-02-24 12:12:43","normal","2017-11-14 02:58:27",4
269166,"DEFECT","Go to line not working","editor","Navigation","mmetelka","legitalk","Dev","RESOLVED","DUPLICATE","2016-11-29 14:26:34","normal","2016-12-05 15:19:05",5
255668,"DEFECT","NullPointerException at org.netbeans.modules.editor.lib2.view.DocumentViewOp.mouseWheelMoved","editor"," -- Other --","mmetelka","MackSix",8.1,"VERIFIED","FIXED","2015-10-03 05:32:33","normal","2015-10-14 08:44:12",23
268670,"ENHANCEMENT","Make vi part of netbeans and not a plugin","java","Editor","dbalek","nsrirangan",8.2,"NEW"," ---","2016-10-25 04:58:04","normal","2017-04-26 09:18:38",2
250382,"DEFECT","On ultra HD (4k) screen, UI doesn't adapt accordingly to Desktop font unit","platform","Window System","saubrecht","lcapra","8.0.2","NEW"," ---","2015-02-11 21:31:38","normal","2017-11-07 16:30:44",4
267838,"DEFECT","Problem with creating JDBC Resources and Connection Pools on GlassFish Server using NetBeans IDE appropriate wizard.","serverplugins","GlassFish","phejl","ALBODOR",8.1,"NEW"," ---","2016-09-02 16:00:45","normal","2017-04-05 11:24:32",3
258692,"DEFECT","[newcodemodel] a lot of PTH files remains in TMP on windows","cnd","Code Model","vv159170","vv159170",8.1,"RESOLVED","FIXED","2016-04-06 17:39:55","normal","2016-04-08 17:04:22",3
258196,"DEFECT","Cannot save a modified file: the error window ""cannot saved to a locked file"" appear.","cnd","Remote","vkvashin","nzero2002",8.1,"VERIFIED","FIXED","2016-03-01 12:34:04","normal","2016-04-18 14:33:07",9
253742,"DEFECT","Infinite loop in indexer for RequireJS project","javascript","RequireJS","rsvitanic","jhavlin",8.1,"VERIFIED","FIXED","2015-07-24 13:48:36","normal","2015-07-31 12:45:44",8
262506,"DEFECT","Failing org.netbeans.modules.web.common tests","web","Editing infrastructure","mkristofic","jskrivanek",8.2,"VERIFIED","FIXED","2016-06-21 09:51:24","normal","2016-07-04 08:43:21",5
249982,"DEFECT","NullPointerException at org.netbeans.modules.debugger.jpda.models.CallStackFrameImpl.getLineNumber","debugger","Java","mentlicher","vriha",8.1,"VERIFIED","DUPLICATE","2015-01-23 15:07:06","normal","2015-01-23 16:02:54",6
